,name,party,state,thomas_id,bioguide_id,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,first_congress,last_congress,gaps,num_congress_periods,93_signatures_received,93_signatures_given,94_signatures_received,94_signatures_given,95_signatures_received,95_signatures_given,96_signatures_received,96_signatures_given,97_signatures_received,97_signatures_given,98_signatures_received,98_signatures_given,99_signatures_received,99_signatures_given,100_signatures_received,100_signatures_given,101_signatures_received,101_signatures_given,102_signatures_received,102_signatures_given,103_signatures_received,103_signatures_given,104_signatures_received,104_signatures_given,105_signatures_received,105_signatures_given,106_signatures_received,106_signatures_given,107_signatures_received,107_signatures_given,108_signatures_received,108_signatures_given,109_signatures_received,109_signatures_given,110_signatures_received,110_signatures_given,111_signatures_received,111_signatures_given,112_signatures_received,112_signatures_given,113_signatures_received,113_signatures_given,114_signatures_received,114_signatures_given,115_signatures_received,115_signatures_given,AMOUNT,AMOUNT_normalized,115_signatures_received_normalized,115_signatures_given_normalized,in_congress_last_five_periods,importance,supported_D,supported_R,supported_OTHER
543,"Hoagland, Peter",Democrat,NE,544.0,H000652,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,101,103,False,3,,,,,,,,,,,,,,,,,114.0,167.0,75.0,218.0,284.0,167.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
544,"Hobson, David L.",Republican,OH,545.0,H000666,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,102,110,False,9,,,,,,,,,,,,,,,,,,,162.0,290.0,200.0,308.0,16.0,104.0,15.0,135.0,27.0,154.0,99.0,118.0,163.0,90.0,168.0,64.0,12.0,103.0,,,,,,,,,,,,,,,0.0,,0,0,0
545,"Hochbrueckner, George J.",Democrat,NY,546.0,H000670,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,100,103,False,4,,,,,,,,,,,,,,,255.0,514.0,1075.0,557.0,850.0,569.0,456.0,380.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
546,"Hoekstra, Peter",Republican,MI,547.0,H000676,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,103,111,False,9,,,,,,,,,,,,,,,,,,,,,107.0,233.0,129.0,153.0,122.0,164.0,257.0,174.0,433.0,159.0,423.0,189.0,196.0,156.0,217.0,277.0,270.0,281.0,,,,,,,,,,,,,0.25,,0,0,0
547,"Hogan, Lawrence J.",Republican,MD,548.0,H000692,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,93,93,False,1,86.0,112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
548,"Hoke, Martin R.",Republican,OH,549.0,H000707,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,103,104,False,2,,,,,,,,,,,,,,,,,,,,,70.0,190.0,77.0,183.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
549,"Holden, Tim",Democrat,PA,550.0,H000712,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,103,112,False,10,,,,,,,,,,,,,,,,,,,,,123.0,274.0,42.0,201.0,106.0,283.0,73.0,334.0,89.0,356.0,46.0,350.0,31.0,437.0,133.0,412.0,79.0,382.0,61.0,235.0,,,,,,,,,,,0.5,,0,0,0
550,"Holifield, Chet",Democrat,CA,551.0,H000713,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,93,93,False,1,188.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
551,"Holland, Kenneth L.",Democrat,SC,552.0,H000719,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,94,97,False,4,,,59.0,120.0,222.0,107.0,189.0,111.0,172.0,131.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
552,"Hollenbeck, Harold C.",Republican,NJ,553.0,H000722,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,95,97,False,3,,,,,26.0,197.0,106.0,301.0,407.0,212.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
553,"Holloway, Clyde",Republican,LA,554.0,H000729,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,100,102,False,3,,,,,,,,,,,,,,,87.0,344.0,320.0,295.0,53.0,187.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
554,"Holt, Marjorie S.",Republican,MD,555.0,H000747,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,93,99,False,7,48.0,119.0,120.0,134.0,151.0,167.0,148.0,248.0,356.0,379.0,14.0,334.0,47.0,424.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
555,"Holtzman, Elizabeth",Democrat,NY,556.0,H000752,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,93,96,False,4,165.0,330.0,550.0,380.0,411.0,352.0,598.0,142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
556,"Hopkins, Larry J.",Republican,KY,557.0,H000776,False,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,96,102,False,7,,,,,,,124.0,137.0,148.0,128.0,61.0,148.0,2.0,158.0,214.0,155.0,125.0,141.0,10.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
557,"Horn, Joan Kelly",Democrat,MO,558.0,H000788,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,102,102,False,1,,,,,,,,,,,,,,,,,,,457.0,352.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
558,"Horn, Stephen",Republican,CA,559.0,H000789,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,103,107,False,5,,,,,,,,,,,,,,,,,,,,,81.0,227.0,114.0,263.0,102.0,298.0,124.0,323.0,214.0,351.0,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
559,"Horton, Frank J.",Republican,NY,560.0,H000797,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,93,102,False,10,220.0,183.0,1.0,167.0,125.0,201.0,60.0,269.0,5.0,448.0,141.0,654.0,501.0,767.0,221.0,813.0,548.0,879.0,812.0,959.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
560,"Hosmer, Craig",Republican,CA,561.0,H000802,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,93,93,False,1,221.0,161.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
561,"Hostettler, John N.",Republican,IN,562.0,H000807,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,104,109,False,6,,,,,,,,,,,,,,,,,,,,,,,29.0,175.0,97.0,208.0,139.0,244.0,256.0,183.0,144.0,212.0,240.0,206.0,,,,,,,,,,,,,,,,,0.0,,0,0,0
562,"Houghton, Amo",Republican,NY,563.0,H000814,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,100,108,False,9,,,,,,,,,,,,,,,150.0,156.0,200.0,247.0,16.0,190.0,0.0,176.0,269.0,141.0,678.0,181.0,938.0,216.0,1221.0,188.0,765.0,236.0,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
563,"Howard, James J.",Democrat,NJ,564.0,H000840,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,93,100,False,8,218.0,166.0,80.0,243.0,201.0,268.0,502.0,290.0,473.0,382.0,276.0,450.0,401.0,523.0,612.0,514.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
564,"Howe, Allan",Democrat,UT,565.0,H000851,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,94,94,False,1,,,97.0,179.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
565,"Hoyer, Steny H.",Democrat,MD,566.0,H000874,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,97,115,False,19,,,,,,,,,254.0,245.0,805.0,379.0,644.0,482.0,1416.0,384.0,427.0,295.0,730.0,261.0,1208.0,188.0,214.0,100.0,474.0,127.0,254.0,221.0,566.0,223.0,265.0,176.0,477.0,184.0,452.0,114.0,412.0,65.0,148.0,59.0,164.0,58.0,34.0,88.0,139.0,100.0,9938067.059999999,0.5798256667668803,0.08229721728833629,0.07132459970887918,1.0,0.7899128333834402,69,18,0
566,"Hubbard, Carroll, Jr.",Democrat,KY,567.0,H000878,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,94,102,False,9,,,6.0,83.0,6.0,102.0,0.0,182.0,0.0,189.0,10.0,182.0,8.0,200.0,205.0,188.0,14.0,305.0,10.0,284.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
567,"Huber, Robert J.",Republican,MI,568.0,H000897,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,93,93,False,1,155.0,171.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
568,"Huckaby, Thomas J. (Jerry)",Democrat,LA,569.0,H000901,False,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,95,102,False,8,,,,,47.0,91.0,33.0,121.0,20.0,144.0,37.0,131.0,56.0,152.0,109.0,217.0,198.0,245.0,95.0,222.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
569,"Hudnut, William H., 3d",Republican,IN,570.0,H000906,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,93,93,False,1,3.0,179.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
570,"Huffington, Michael",Republican,CA,571.0,H000912,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,103,103,False,1,,,,,,,,,,,,,,,,,,,,,118.0,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
571,"Hughes, William J.",Democrat,NJ,572.0,H000930,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,94,103,False,10,,,64.0,223.0,65.0,454.0,245.0,534.0,196.0,575.0,385.0,678.0,472.0,625.0,1044.0,720.0,1043.0,720.0,283.0,688.0,580.0,444.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
572,"Hungate, William L.",Democrat,MO,573.0,H000965,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,93,94,False,2,23.0,104.0,75.0,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
573,"Hunt, John E.",Republican,NJ,574.0,H000972,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,93,93,False,1,38.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
574,"Hunter, Duncan",Republican,CA,575.0,H000981,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,97,110,False,14,,,,,,,,,227.0,130.0,363.0,144.0,365.0,262.0,320.0,318.0,85.0,340.0,113.0,323.0,60.0,265.0,222.0,183.0,194.0,175.0,301.0,193.0,276.0,132.0,185.0,138.0,273.0,139.0,297.0,228.0,,,,,,,,,,,,,,,0.0,,0,0,0
575,"Hutchinson, Edward",Republican,MI,576.0,H001011,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,93,94,False,2,39.0,40.0,6.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
576,"Hutchinson, John G.",Democrat,WV,577.0,H001013,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,96,96,False,1,,,,,,,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
577,"Hutchinson, Tim",Republican,AR,578.0,H001015,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,103,104,False,2,,,,,,,,,,,,,,,,,,,,,1.0,297.0,335.0,287.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
578,"Hutto, Earl",Democrat,FL,579.0,H001018,False,False,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,96,103,False,8,,,,,,,1.0,172.0,1.0,251.0,151.0,338.0,632.0,360.0,359.0,345.0,304.0,320.0,520.0,291.0,148.0,252.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
579,"Hyde, Henry J.",Republican,IL,580.0,H001022,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,94,109,False,16,,,51.0,212.0,362.0,361.0,107.0,355.0,532.0,328.0,309.0,426.0,540.0,425.0,485.0,468.0,286.0,601.0,270.0,593.0,416.0,377.0,637.0,115.0,531.0,157.0,475.0,176.0,293.0,161.0,393.0,167.0,580.0,163.0,,,,,,,,,,,,,,,,,0.0,,0,0,0
580,"Ichord, Richard H.",Democrat,MO,581.0,I000001,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,93,96,False,4,435.0,97.0,17.0,91.0,85.0,117.0,70.0,139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
581,"Inglis, Bob",Republican,SC,582.0,I000023,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,True,True,False,False,False,False,103,111,False,6,,,,,,,,,,,,,,,,,,,,,213.0,220.0,87.0,223.0,24.0,166.0,,,,,,,34.0,156.0,31.0,208.0,15.0,297.0,,,,,,,,,,,,,0.25,,0,0,0
582,"Inhofe, James M.",Republican,OK,583.0,I000024,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,100,103,False,4,,,,,,,,,,,,,,,113.0,318.0,160.0,421.0,147.0,494.0,91.0,261.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
583,"Inslee, Jay",Democrat,WA,584.0,I000026,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True,True,False,False,False,103,112,False,8,,,,,,,,,,,,,,,,,,,,,0.0,176.0,,,,,316.0,303.0,446.0,251.0,244.0,270.0,301.0,319.0,954.0,356.0,522.0,301.0,165.0,116.0,,,,,,,,,,,0.5,,0,0,0
584,"Ireland, Andrew P.",Switched,FL,585.0,I000029,False,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,95,102,False,8,,,,,67.0,85.0,185.0,118.0,98.0,209.0,48.0,184.0,32.0,247.0,21.0,218.0,142.0,330.0,193.0,314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
585,"Istook, Ernest J., Jr.",Republican,OK,586.0,I000047,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,103,109,False,7,,,,,,,,,,,,,,,,,,,,,198.0,137.0,145.0,94.0,232.0,134.0,265.0,150.0,284.0,101.0,318.0,91.0,324.0,119.0,,,,,,,,,,,,,,,,,0.0,,0,0,0
586,"Jackson, Jesse L., Jr.",Democrat,IL,587.0,J000283,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,104,112,False,9,,,,,,,,,,,,,,,,,,,,,,,0.0,76.0,75.0,258.0,417.0,264.0,116.0,319.0,147.0,325.0,361.0,338.0,440.0,475.0,262.0,519.0,316.0,558.0,,,,,,,,,,,0.5,,0,0,0
587,"Jackson-Lee, Sheila",Democrat,TX,588.0,J000032,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,False,False,False,104,111,False,8,,,,,,,,,,,,,,,,,,,,,,,176.0,176.0,181.0,358.0,468.0,448.0,272.0,489.0,559.0,708.0,613.0,841.0,1079.0,1088.0,284.0,464.0,,,,,,,,,10149489.029999996,0.592289617996359,,,0.25,0.4211448089981795,577,115,0
588,"Jackson Lee, Sheila",Democrat,TX,588.0,J000032,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,111,115,False,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,247.0,397.0,403.0,395.0,507.0,706.0,615.0,814.0,779.0,10149489.029999996,0.592289617996359,0.48194197750148016,0.5655021834061136,1.0,0.7961448089981795,577,115,0
589,"Jacobs, Andrew, Jr.",Democrat,IN,589.0,J000033,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,94,104,False,11,,,39.0,92.0,247.0,114.0,190.0,159.0,152.0,247.0,89.0,274.0,93.0,353.0,195.0,294.0,381.0,373.0,554.0,411.0,905.0,406.0,222.0,296.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
590,"James, Craig T.",Republican,FL,590.0,J000047,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,101,102,False,2,,,,,,,,,,,,,,,,,0.0,318.0,25.0,146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
591,"Jarman, John",Democrat,OK,591.0,J000057,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,93,94,False,2,1.0,33.0,0.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
592,"Jefferson, William J.",Democrat,LA,592.0,J000070,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,102,110,False,9,,,,,,,,,,,,,,,,,,,140.0,928.0,302.0,406.0,112.0,149.0,229.0,267.0,485.0,374.0,447.0,317.0,161.0,310.0,197.0,593.0,171.0,515.0,,,,,,,,,,,,,,,0.0,,0,0,0
593,"Jeffords, James M.",Independent,VT,593.0,J000072,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,94,100,False,7,,,154.0,208.0,625.0,273.0,429.0,300.0,526.0,311.0,219.0,543.0,650.0,506.0,322.0,459.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
594,"Jeffries, Jim",Republican,KS,594.0,J000074,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,96,97,False,2,,,,,,,80.0,140.0,310.0,258.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
595,"Jenkins, Edgar L.",Democrat,GA,595.0,J000083,False,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,95,102,False,8,,,,,0.0,60.0,278.0,101.0,375.0,104.0,131.0,191.0,431.0,201.0,375.0,210.0,373.0,246.0,445.0,295.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
596,"Jenrette, John W., Jr.",Democrat,SC,596.0,J000099,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,94,96,False,3,,,99.0,309.0,109.0,329.0,85.0,251.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
597,"Johnson, Albert W.",Republican,PA,597.0,J000115,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,93,94,False,2,0.0,120.0,0.0,108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
598,"Johnson, Don",Democrat,GA,598.0,J000120,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,103,103,False,1,,,,,,,,,,,,,,,,,,,,,18.0,159.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
599,"Johnson, Eddie Bernice",Democrat,TX,599.0,J000126,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,103,115,False,13,,,,,,,,,,,,,,,,,,,,,168.0,363.0,76.0,180.0,123.0,282.0,138.0,364.0,411.0,308.0,338.0,398.0,621.0,483.0,860.0,610.0,565.0,515.0,447.0,288.0,364.0,322.0,295.0,299.0,359.0,387.0,8663718.570000002,0.5046990494682136,0.21255180580224986,0.2802037845705968,1.0,0.7523495247341068,253,80,0
600,"Johnson, Harold T.",Democrat,CA,600.0,J000135,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,93,96,False,4,95.0,130.0,91.0,154.0,59.0,116.0,136.0,173.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
601,"Johnson, James P. (Jim)",Republican,CO,601.0,J000148,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,93,96,False,4,11.0,48.0,0.0,62.0,104.0,98.0,37.0,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
602,"Johnson, Nancy L.",Republican,CT,602.0,J000163,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,98,109,False,12,,,,,,,,,,,372.0,315.0,714.0,347.0,822.0,435.0,369.0,485.0,379.0,416.0,582.0,280.0,1084.0,154.0,788.0,225.0,2072.0,316.0,1267.0,235.0,630.0,213.0,759.0,207.0,,,,,,,,,,,,,,,,,0.0,,0,0,0
603,"Johnson, Sam",Republican,TX,603.0,J000174,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,102,115,False,14,,,,,,,,,,,,,,,,,,,60.0,112.0,132.0,232.0,95.0,191.0,197.0,227.0,510.0,211.0,323.0,164.0,327.0,175.0,428.0,263.0,388.0,304.0,376.0,283.0,339.0,215.0,722.0,160.0,818.0,223.0,712.0,157.0,7761519.060000002,0.45151171661013906,0.4215512137359384,0.11280931586608442,1.0,0.7257558583050695,14,121,0
604,"Johnson, Tim",Democrat,SD,604.0,J000177,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,100,104,False,5,,,,,,,,,,,,,,,49.0,378.0,347.0,561.0,357.0,600.0,91.0,382.0,129.0,175.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
605,"Johnston, Eugene (Gene)",Republican,NC,605.0,J000200,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,97,97,False,1,,,,,,,,,107.0,225.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
606,"Johnston, Harry",Democrat,FL,606.0,J000187,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,101,104,False,4,,,,,,,,,,,,,,,,,87.0,262.0,90.0,321.0,367.0,259.0,129.0,233.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
607,"Jones, Ben",Democrat,GA,607.0,J000211,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,101,102,False,2,,,,,,,,,,,,,,,,,100.0,388.0,9.0,365.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
608,"Jones, Ed",Democrat,TN,608.0,J000216,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,93,100,False,8,91.0,37.0,205.0,63.0,104.0,75.0,117.0,123.0,45.0,137.0,260.0,136.0,209.0,147.0,91.0,178.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
609,"Jones, James R.",Democrat,OK,609.0,J000232,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,93,99,False,7,31.0,59.0,62.0,60.0,94.0,73.0,509.0,81.0,503.0,45.0,394.0,69.0,701.0,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
610,"Jones, Robert E., Jr.",Democrat,AL,610.0,J000248,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,93,94,False,2,26.0,34.0,658.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
611,"Jones, Walter B.",Democrat,NC,611.0,J000256,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,93,102,False,10,21.0,137.0,25.0,123.0,0.0,88.0,0.0,118.0,213.0,188.0,262.0,257.0,419.0,405.0,1313.0,357.0,517.0,368.0,319.0,343.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
612,"Jones, Walter B., Jr.",Republican,NC,612.0,J000255,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,104,115,False,12,,,,,,,,,,,,,,,,,,,,,,,41.0,169.0,171.0,201.0,231.0,249.0,548.0,312.0,573.0,333.0,575.0,368.0,671.0,499.0,713.0,547.0,375.0,562.0,133.0,615.0,226.0,564.0,99.0,521.0,8498370.030000001,0.4949512633775553,0.0586145648312611,0.3777292576419214,1.0,0.7474756316887776,179,281,0
613,"Jontz, Jim",Democrat,IN,613.0,J000265,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,100,102,False,3,,,,,,,,,,,,,,,173.0,531.0,409.0,850.0,315.0,855.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
614,"Jordan, Barbara",Democrat,TX,614.0,J000266,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,93,95,False,3,31.0,101.0,12.0,92.0,0.0,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
615,"Kanjorski, Paul E.",Democrat,PA,615.0,K000008,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,99,111,False,13,,,,,,,,,,,,,63.0,327.0,168.0,297.0,574.0,332.0,401.0,241.0,134.0,164.0,79.0,70.0,105.0,118.0,70.0,174.0,89.0,183.0,87.0,150.0,36.0,160.0,640.0,177.0,279.0,161.0,,,,,,,,,,,,,0.25,,0,0,0
